2016Mar,5.5,Normal value (A),
2016Feb,5.6,Normal value (A),
2016Jan,5.5,Normal value (A),
2015Dec,5.3,Normal value (A),
2015Nov,5.1,Normal value (A),
2015Oct,5.3,Normal value (A),
2015Sep,4.9,Normal value (A),
2015Aug,5.1,Normal value (A),
2015Jul,5.2,Normal value (A),
2015Jun,4.9,Normal value (A),
2015May,4.8,Normal value (A),
2015Apr,4.8,Normal value (A),
2015Mar,4.3,Normal value (A),
2015Feb,4.0,Normal value (A),
2015Jan,3.9,Normal value (A),
2014Dec,3.7,Normal value (A),
2014Nov,3.3,Normal value (A),
2014Oct,2.7,Normal value (A),
2014Sep,2.8,Normal value (A),
2014Aug,2.6,Normal value (A),
2014Jul,2.5,Normal value (A),
2014Jun,2.5,Normal value (A),
2014May,2.2,Normal value (A),
2014Apr,1.9,Normal value (A),
2014Mar,2.3,Normal value (A),
2014Feb,2.4,Normal value (A),
2014Jan,2.4,Normal value (A),
2013Dec,2.5,Normal value (A),
2013Nov,3.1,Normal value (A),
2013Oct,3.2,Normal value (A),
2013Sep,3.8,Normal value (A),
2013Aug,4.0,Normal value (A),
2013Jul,3.9,Normal value (A),
2013Jun,4.2,Normal value (A),
2013May,4.6,Normal value (A),
2013Apr,4.7,Normal value (A),
2013Mar,4.1,Normal value (A),
2013Feb,4.2,Normal value (A),
2013Jan,4.4,Normal value (A),
2012Dec,4.6,Normal value (A),
2012Nov,4.4,Normal value (A),
2012Oct,4.2,Normal value (A),
2012Sep,3.2,Normal value (A),
2012Aug,3.0,Normal value (A),
2012Jul,3.4,Normal value (A),
2012Jun,3.0,Normal value (A),
2012May,2.8,Normal value (A),
2012Apr,2.6,Normal value (A),
2012Mar,2.9,Normal value (A),
2012Feb,2.6,Normal value (A),
2012Jan,2.2,Normal value (A),
2011Dec,1.9,Normal value (A),
2011Nov,2.0,Normal value (A),
2011Oct,2.0,Normal value (A),
2011Sep,2.4,Normal value (A),
2011Aug,2.3,Normal value (A),
2011Jul,2.2,Normal value (A),
2011Jun,2.4,Normal value (A),
2011May,2.4,Normal value (A),
2011Apr,2.3,Normal value (A),
2011Mar,2.6,Normal value (A),
2011Feb,2.5,Normal value (A),
2011Jan,2.4,Normal value (A),
2010Dec,2.3,Normal value (A),
2010Nov,2.3,Normal value (A),
2010Oct,2.0,Normal value (A),
2010Sep,1.9,Normal value (A),
2010Aug,1.9,Normal value (A),
2010Jul,1.4,Normal value (A),
2010Jun,1.5,Normal value (A),
2010May,1.4,Normal value (A),
2010Apr,1.4,Normal value (A),
2010Mar,1.7,Normal value (A),
2010Feb,1.6,Normal value (A),
2010Jan,1.9,Normal value (A),
2009Dec,1.6,Normal value (A),
2009Nov,1.7,Normal value (A),
2009Oct,2.2,Normal value (A),
2009Sep,3.6,Normal value (A),
2009Aug,4.3,Normal value (A),
2009Jul,4.7,Normal value (A),
2009Jun,4.9,Normal value (A),
2009May,5.2,Normal value (A),
2009Apr,5.9,Normal value (A),
2009Mar,6.3,Normal value (A),
2009Feb,6.9,Normal value (A),
2009Jan,7.6,Normal value (A),
2008Dec,8.5,Normal value (A),
2008Nov,8.8,Normal value (A),
2008Oct,9.2,Normal value (A),
2008Sep,8.8,Normal value (A),
2008Aug,8.9,Normal value (A),
2008Jul,9.2,Normal value (A),
2008Jun,9.7,Normal value (A),
2008May,10.3,Normal value (A),
2008Apr,10.6,Normal value (A),
2008Mar,9.9,Normal value (A),
2008Feb,10.7,Normal value (A),
2008Jan,10.3,Normal value (A),
2007Dec,10.1,Normal value (A),
2007Nov,11.1,Normal value (A),
2007Oct,11.3,Normal value (A),
2007Sep,10.4,Normal value (A),
2007Aug,10.6,Normal value (A),
2007Jul,10.6,Normal value (A),
2007Jun,9.6,Normal value (A),
2007May,9.3,Normal value (A),
2007Apr,8.7,Normal value (A),
2007Mar,9.5,Normal value (A),
2007Feb,9.0,Normal value (A),
2007Jan,9.3,Normal value (A),
2006Dec,9.5,Normal value (A),
2006Nov,8.7,Normal value (A),
2006Oct,8.1,Normal value (A),
2006Sep,8.3,Normal value (A),
2006Aug,8.1,Normal value (A),
2006Jul,8.0,Normal value (A),
2006Jun,9.1,Normal value (A),
2006May,9.3,Normal value (A),
2006Apr,9.5,Normal value (A),
2006Mar,8.9,Normal value (A),
2006Feb,8.5,Normal value (A),
2006Jan,8.2,Normal value (A),
2005Dec,8.5,Normal value (A),
2005Nov,8.3,Normal value (A),
2005Oct,8.5,Normal value (A),
2005Sep,8.8,Normal value (A),
2005Aug,8.6,Normal value (A),
2005Jul,8.4,Normal value (A),
2005Jun,8.0,Normal value (A),
2005May,7.6,Normal value (A),
2005Apr,7.3,Normal value (A),
2005Mar,7.0,Normal value (A),
2005Feb,7.2,Normal value (A),
2005Jan,7.1,Normal value (A),
2004Dec,6.6,Normal value (A),
2004Nov,6.4,Normal value (A),
2004Oct,6.3,Normal value (A),
2004Sep,6.2,Normal value (A),
2004Aug,5.5,Normal value (A),
2004Jul,5.8,Normal value (A),
2004Jun,5.7,Normal value (A),
2004May,5.5,Normal value (A),
2004Apr,6.1,Normal value (A),
2004Mar,6.8,Normal value (A),
2004Feb,6.8,Normal value (A),
2004Jan,7.4,Normal value (A),
2003Dec,7.7,Normal value (A),
2003Nov,7.7,Normal value (A),
2003Oct,8.2,Normal value (A),
2003Sep,8.2,Normal value (A),
2003Aug,8.7,Normal value (A),
2003Jul,8.6,Normal value (A),
2003Jun,8.4,Normal value (A),
2003May,8.6,Normal value (A),
2003Apr,8.2,Normal value (A),
2003Mar,8.0,Normal value (A),
2003Feb,7.6,Normal value (A),
2003Jan,6.7,Normal value (A),
2002Dec,6.7,Normal value (A),
2002Nov,6.8,Normal value (A),
2002Oct,6.7,Normal value (A),
2002Sep,6.5,Normal value (A),
2002Aug,6.5,Normal value (A),
2002Jul,6.5,Normal value (A),
2002Jun,6.5,Normal value (A),
2002May,6.9,Normal value (A),
2002Apr,6.5,Normal value (A),
2002Mar,6.4,Normal value (A),
2002Feb,6.5,Normal value (A),
2002Jan,6.9,Normal value (A),
2001Dec,6.6,Normal value (A),
2001Nov,6.2,Normal value (A),
2001Oct,5.6,Normal value (A),
2001Sep,5.3,Normal value (A),
2001Aug,4.6,Normal value (A),
2001Jul,4.5,Normal value (A),
2001Jun,4.4,Normal value (A),
2001May,3.6,Normal value (A),
2001Apr,3.3,Normal value (A),
2001Mar,3.1,Normal value (A),
2001Feb,3.0,Normal value (A),
2001Jan,2.9,Normal value (A),
2000Dec,3.6,Normal value (A),
2000Nov,3.6,Normal value (A),
2000Oct,3.8,Normal value (A),
2000Sep,4.1,Normal value (A),
2000Aug,4.2,Normal value (A),
2000Jul,3.6,Normal value (A),
2000Jun,4.4,Normal value (A),
2000May,4.7,Normal value (A),
2000Apr,5.1,Normal value (A),
2000Mar,5.2,Normal value (A),
2000Feb,5.5,Normal value (A),
2000Jan,4.3,Normal value (A),
1999Dec,5.6,Normal value (A),
1999Nov,6.5,Normal value (A),
1999Oct,7.0,Normal value (A),
1999Sep,7.1,Normal value (A),
1999Aug,7.3,Normal value (A),
1999Jul,7.7,Normal value (A),
1999Jun,6.5,Normal value (A),
1999May,6.7,Normal value (A),
1999Apr,6.7,Normal value (A),
1999Mar,7.0,Normal value (A),
1999Feb,6.7,Normal value (A),
1999Jan,8.0,Normal value (A),
1998Dec,6.3,Normal value (A),
1998Nov,5.1,Normal value (A),
1998Oct,4.5,Normal value (A),
1998Sep,4.7,Normal value (A),
1998Aug,4.7,Normal value (A),
1998Jul,4.7,Normal value (A),
1998Jun,5.3,Normal value (A),
1998May,5.2,Normal value (A),
1998Apr,5.3,Normal value (A),
1998Mar,4.4,Normal value (A),
1998Feb,4.2,Normal value (A),
1998Jan,4.0,Normal value (A),
1997Dec,3.4,Normal value (A),
1997Nov,4.2,Normal value (A),
1997Oct,4.6,Normal value (A),
1997Sep,4.1,Normal value (A),
1997Aug,4.3,Normal value (A),
1997Jul,4.4,Normal value (A),
1997Jun,4.5,Normal value (A),
1997May,4.3,Normal value (A),
1997Apr,4.2,Normal value (A),
1997Mar,4.8,Normal value (A),
1997Feb,5.0,Normal value (A),
1997Jan,5.0,Normal value (A),
1996Dec,5.3,Normal value (A),
1996Nov,5.3,Normal value (A),
1996Oct,5.1,Normal value (A),
1996Sep,5.4,Normal value (A),
1996Aug,5.5,Normal value (A),
1996Jul,5.6,Normal value (A),
1996Jun,5.4,Normal value (A),
1996May,5.4,Normal value (A),
1996Apr,5.6,Normal value (A),
1996Mar,5.1,Normal value (A),
1996Feb,5.0,Normal value (A),
1996Jan,5.2,Normal value (A),
1995Dec,5.1,Normal value (A),
1995Nov,3.8,Normal value (A),
1995Oct,3.4,Normal value (A),
1995Sep,3.2,Normal value (A),
1995Aug,2.6,Normal value (A),
1995Jul,2.2,Normal value (A),
1995Jun,2.3,Normal value (A),
1995May,2.2,Normal value (A),
1995Apr,1.7,Normal value (A),
1995Mar,1.8,Normal value (A),
1995Feb,2.4,Normal value (A),
1995Jan,2.5,Normal value (A),
1994Dec,3.0,Normal value (A),
1994Nov,4.3,Normal value (A),
1994Oct,5.2,Normal value (A),
1994Sep,5.8,Normal value (A),
1994Aug,6.0,Normal value (A),
1994Jul,6.5,Normal value (A),
1994Jun,6.6,Normal value (A),
1994May,6.7,Normal value (A),
1994Apr,7.4,Normal value (A),
1994Mar,7.6,Normal value (A),
1994Feb,7.8,Normal value (A),
1994Jan,7.8,Normal value (A),
1993Dec,7.5,Normal value (A),
1993Nov,6.2,Normal value (A),
1993Oct,6.1,Normal value (A),
1993Sep,5.4,Normal value (A),
1993Aug,6.2,Normal value (A),
1993Jul,6.1,Normal value (A),
1993Jun,6.0,Normal value (A),
1993May,5.7,Normal value (A),
1993Apr,5.6,Normal value (A),
1993Mar,5.8,Normal value (A),
1993Feb,5.4,Normal value (A),
1993Jan,5.2,Normal value (A),
1992Dec,4.8,Normal value (A),
1992Nov,5.8,Normal value (A),
1992Oct,5.8,Normal value (A),
1992Sep,6.2,Normal value (A),
1992Aug,5.2,Normal value (A),
1992Jul,5.4,Normal value (A),
1992Jun,5.5,Normal value (A),
1992May,5.6,Normal value (A),
1992Apr,5.7,Normal value (A),
1992Mar,5.6,Normal value (A),
1992Feb,4.9,Normal value (A),
1992Jan,5.3,Normal value (A),
1991Dec,5.8,Normal value (A),
1991Nov,5.6,Normal value (A),
1991Oct,5.3,Normal value (A),
1991Sep,5.2,Normal value (A),
1991Aug,5.7,Normal value (A),
1991Jul,5.7,Normal value (A),
1991Jun,5.8,Normal value (A),
1991May,6.1,Normal value (A),
1991Apr,5.9,Normal value (A),
1991Mar,5.6,Normal value (A),
1991Feb,5.7,Normal value (A),
1991Jan,5.4,Normal value (A),
1990Dec,5.8,Normal value (A),
1990Nov,6.0,Normal value (A),
1990Oct,6.1,Normal value (A),
1990Sep,6.1,Normal value (A),
1990Aug,5.9,Normal value (A),
1990Jul,5.9,Normal value (A),
1990Jun,6.1,Normal value (A),
1990May,6.5,Normal value (A),
1990Apr,6.9,Normal value (A),
1990Mar,6.7,Normal value (A),
1990Feb,7.8,Normal value (A),
1990Jan,8.0,Normal value (A),
1989Dec,7.8,Normal value (A),
1989Nov,7.3,Normal value (A),
1989Oct,7.3,Normal value (A),
1989Sep,7.7,Normal value (A),
1989Aug,7.6,Normal value (A),
1989Jul,7.7,Normal value (A),
1989Jun,7.7,Normal value (A),
1989May,7.2,Normal value (A),
1989Apr,7.1,Normal value (A),
1989Mar,8.0,Normal value (A),
1989Feb,7.4,Normal value (A),
1989Jan,7.3,Normal value (A),
1988Dec,7.2,Normal value (A),
1988Nov,7.1,Normal value (A),
1988Oct,6.9,Normal value (A),
1988Sep,6.9,Normal value (A),
1988Aug,7.0,Normal value (A),
1988Jul,6.6,Normal value (A),
1988Jun,6.3,Normal value (A),
1988May,6.5,Normal value (A),
1988Apr,6.3,Normal value (A),
1988Mar,6.0,Normal value (A),
1988Feb,6.2,Normal value (A),
1988Jan,6.2,Normal value (A),
1987Dec,6.5,Normal value (A),
1987Nov,6.7,Normal value (A),
1987Oct,6.7,Normal value (A),
1987Sep,6.9,Normal value (A),
1987Aug,7.2,Normal value (A),
1987Jul,7.5,Normal value (A),
1987Jun,7.8,Normal value (A),
1987May,7.6,Normal value (A),
1987Apr,7.6,Normal value (A),
1987Mar,6.7,Normal value (A),
1987Feb,7.0,Normal value (A),
1987Jan,7.0,Normal value (A),
1986Dec,6.7,Normal value (A),
1986Nov,7.0,Normal value (A),
1986Oct,6.9,Normal value (A),
1986Sep,6.5,Normal value (A),
1986Aug,6.2,Normal value (A),
1986Jul,5.9,Normal value (A),
1986Jun,5.7,Normal value (A),
1986May,5.6,Normal value (A),
1986Apr,5.4,Normal value (A),
1986Mar,6.2,Normal value (A),
1986Feb,5.7,Normal value (A),
1986Jan,6.2,Normal value (A),
1985Dec,6.6,Normal value (A),
1985Nov,6.7,Normal value (A),
1985Oct,7.1,Normal value (A),
1985Sep,7.1,Normal value (A),
1985Aug,7.5,Normal value (A),
1985Jul,7.9,Normal value (A),
1985Jun,8.2,Normal value (A),
1985May,8.3,Normal value (A),
1985Apr,9.0,Normal value (A),
1985Mar,9.1,Normal value (A),
1985Feb,9.2,Normal value (A),
1985Jan,8.6,Normal value (A),
1984Dec,8.1,Normal value (A),
1984Nov,8.1,Normal value (A),
1984Oct,8.3,Normal value (A),
1984Sep,8.5,Normal value (A),
1984Aug,8.0,Normal value (A),
1984Jul,7.9,Normal value (A),
1984Jun,7.9,Normal value (A),
1984May,8.2,Normal value (A),
1984Apr,7.9,Normal value (A),
1984Mar,8.0,Normal value (A),
1984Feb,7.9,Normal value (A),
1984Jan,8.3,Normal value (A),
1983Dec,8.7,Normal value (A),
1983Nov,8.9,Normal value (A),
1983Oct,8.9,Normal value (A),
1983Sep,8.7,Normal value (A),
1983Aug,9.2,Normal value (A),
1983Jul,9.4,Normal value (A),
1983Jun,9.5,Normal value (A),
1983May,9.7,Normal value (A),
1983Apr,9.6,Normal value (A),
1983Mar,9.9,Normal value (A),
1983Feb,10.5,Normal value (A),
1983Jan,10.7,Normal value (A),
1982Dec,11.0,Normal value (A),
1982Nov,10.9,Normal value (A),
1982Oct,10.8,Normal value (A),
1982Sep,11.0,Normal value (A),
1982Aug,11.2,Normal value (A),
1982Jul,10.4,Normal value (A),
1982Jun,10.2,Normal value (A),
1982May,9.8,Normal value (A),
1982Apr,10.2,Normal value (A),
1982Mar,10.0,Normal value (A),
1982Feb,9.5,Normal value (A),
1982Jan,9.6,Normal value (A),
1981Dec,9.3,Normal value (A),
1981Nov,9.0,Normal value (A),
1981Oct,9.5,Normal value (A),
1981Sep,9.9,Normal value (A),
1981Aug,9.5,Normal value (A),
1981Jul,9.8,Normal value (A),
1981Jun,10.3,Normal value (A),
1981May,10.4,Normal value (A),
1981Apr,10.1,Normal value (A),
1981Mar,9.7,Normal value (A),
1981Feb,10.1,Normal value (A),
1981Jan,9.8,Normal value (A),
